id,title,original_title,overview,adult,original_language,popularity,release_date,vote_average,vote_count
1361562,Summer's Camera,여름의 카메라,"After her father passed away, Summer stopped taking photos. One day, she falls for Yeonwoo, the school's soccer star, and takes her picture with her late father's camera. When she develops the film, she finds mysterious photos of her father's high school lover. In these photos, Summer uncovers a secret about her father. Will she be able to pursue her first love and uncover her father's hidden truth?",False,ko,1.2573,2026-06-24,0.0,0
1717914,Other People's Things,Tuđe stvari,"Vigo lives a life he hates. He spends all day slaving away at a warehouse, having to put up with impossible demands from his higher ups and colleagues he hates. When the workday is finally over, he has to pay the bills, deal with increasing debts and provide a somewhat normal life for his younger sister and his girlfriend, the relationship with which grows more strained and opressive as time goes on. Things change when he meets Marija, a high society college student, with whom he starts a whirlwind romance with, gaining a whole new world of possibilities in the process. But, as time goes on, his facade begins to slip away and Vigo is forced to get into increasingly deeper criminal waters to sustain his image.",False,hr,14.9564,2026-07-10,0.0,0
1475375,Korean Haunted Hospital,402 Rumah Sakit Angker Korea,"A group of Indonesians: Juna, Adit, Bara, Arum, Yuri, and Tyas set out to live-stream a test of courage at the so-called most haunted hospital in South Korea, Yong-Won Hospital. Rumor has it that the hospital was once a front for a cult whose members chose to die following their leader. Now, the hospital is in a state of disrepair and no one dares to enter. This motivates Juna and his friends to become the first people to live-stream there.",False,id,1.2903,2026-07-09,0.0,0
1596260,Night Nurse,Night Nurse,"As a series of perverse scam calls unsettles an idyllic retirement community, a starry-eyed nurse becomes entangled with her mysterious patient.",False,en,2.9037,2026-07-10,0.0,0
105,Back to the Future,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",False,en,22.5085,1985-07-03,8.326,21924
1418308,Ghost Board,กล่องผีสุ่มวิญญาณ,"A group of friends stumbles upon an ancient board game hidden in a remote temple. Once the die is cast, a vengeful spirit is unleashed, turning the game into a deadly trap. To survive, they must figure out how to end it before they become its next victims.",False,th,2.0642,2026-03-12,7.25,4
1671541,The Three Kingdoms Part 1: The Battle for Luoyang,三国第一部：争洛阳,,False,zh,3.1826,2026-07-10,0.0,0
1718708,Time Capsule,Kapsul Waktu,"Nina, a bright, high-achieving student, found that she wasn’t quite as smart in college as she had been. Through a time capsule she made with her older brother, Nina learned to come to terms with her past in a healthier way.",False,id,0.5305,2026-06-23,8.0,1
1665744,Sarpanch,Sarpanch,Dev Kharoud,False,pa,0.584,2026-07-10,0.0,0
1397201,Golden Kamuy -The Abashiri Prison Raid-,ゴールデンカムイ 網走監獄襲撃編,"As each group pursues their mission, a fierce battle unfolds over the tattooed prisoners. Who is friend, and who is foe?  The fight leads them all to Abashiri Prison, where Noppera-bo, the man who holds all the answers, is locked away...",False,ja,1.3049,2026-03-13,8.0,1
1361562,Summer's Camera,여름의 카메라,"After her father passed away, Summer stopped taking photos. One day, she falls for Yeonwoo, the school's soccer star, and takes her picture with her late father's camera. When she develops the film, she finds mysterious photos of her father's high school lover. In these photos, Summer uncovers a secret about her father. Will she be able to pursue her first love and uncover her father's hidden truth?",False,ko,1.2573,2026-06-24,0.0,0
1717914,Other People's Things,Tuđe stvari,"Vigo lives a life he hates. He spends all day slaving away at a warehouse, having to put up with impossible demands from his higher ups and colleagues he hates. When the workday is finally over, he has to pay the bills, deal with increasing debts and provide a somewhat normal life for his younger sister and his girlfriend, the relationship with which grows more strained and opressive as time goes on. Things change when he meets Marija, a high society college student, with whom he starts a whirlwind romance with, gaining a whole new world of possibilities in the process. But, as time goes on, his facade begins to slip away and Vigo is forced to get into increasingly deeper criminal waters to sustain his image.",False,hr,14.9564,2026-07-10,0.0,0
1475375,Korean Haunted Hospital,402 Rumah Sakit Angker Korea,"A group of Indonesians: Juna, Adit, Bara, Arum, Yuri, and Tyas set out to live-stream a test of courage at the so-called most haunted hospital in South Korea, Yong-Won Hospital. Rumor has it that the hospital was once a front for a cult whose members chose to die following their leader. Now, the hospital is in a state of disrepair and no one dares to enter. This motivates Juna and his friends to become the first people to live-stream there.",False,id,1.2903,2026-07-09,0.0,0
1596260,Night Nurse,Night Nurse,"As a series of perverse scam calls unsettles an idyllic retirement community, a starry-eyed nurse becomes entangled with her mysterious patient.",False,en,2.9037,2026-07-10,0.0,0
105,Back to the Future,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",False,en,22.5085,1985-07-03,8.326,21924
1418308,Ghost Board,กล่องผีสุ่มวิญญาณ,"A group of friends stumbles upon an ancient board game hidden in a remote temple. Once the die is cast, a vengeful spirit is unleashed, turning the game into a deadly trap. To survive, they must figure out how to end it before they become its next victims.",False,th,2.0642,2026-03-12,7.25,4
1671541,The Three Kingdoms Part 1: The Battle for Luoyang,三国第一部：争洛阳,,False,zh,3.1826,2026-07-10,0.0,0
1718708,Time Capsule,Kapsul Waktu,"Nina, a bright, high-achieving student, found that she wasn’t quite as smart in college as she had been. Through a time capsule she made with her older brother, Nina learned to come to terms with her past in a healthier way.",False,id,0.5305,2026-06-23,8.0,1
1665744,Sarpanch,Sarpanch,Dev Kharoud,False,pa,0.584,2026-07-10,0.0,0
